task_id,group,source_official_task_id,dataset,tier,scene,bfs_distance,max_steps,n_anchors_strict,anchors,pass_presence_strict,pass_area1pct_strict,dist_from_start_m,dist_from_official_target_m,golden_steps,verified,stage
tvr_procthor_procthor_09286_easy_t08_s00_v2,v2,procthor_procthor_09286_easy_t08_s00,procthor,procthor-easy,procthor:9286,7,40,7,CounterTop;Doorframe;GarbageCan;Microwave;Sofa;Toaster;Vase,0.04,0.0,1.75,4.76,11,True,1
tvr_procthor_procthor_02586_easy_t02_s01_v2,v2,procthor_procthor_02586_easy_t02_s01,procthor,procthor-easy,procthor:2586,8,40,3,Desk;DeskLamp;GarbageCan,0.02,0.0,2.0,2.26,10,True,1
tvr_procthor_procthor_03829_easy_t07_s00_v2,v2,procthor_procthor_03829_easy_t07_s00,procthor,procthor-easy,procthor:3829,8,40,4,Bed;Box;Dresser;LaundryHamper,0.0,0.0,1.58,1.95,14,True,1
tvr_procthor_procthor_03890_easy_t04_s01_v2,v2,procthor_procthor_03890_easy_t04_s01,procthor,procthor-easy,procthor:3890,8,40,6,Drawer;Dresser;Faucet;Sink;SinkBasin;Toilet,0.04,0.0,1.58,4.45,18,True,1
tvr_procthor_procthor_07302_easy_t04_s01_v2,v2,procthor_procthor_07302_easy_t04_s01,procthor,procthor-easy,procthor:7302,8,40,6,Chair;CoffeeMachine;CounterTop;DiningTable;Doorframe;HousePlant,0.02,0.0,1.46,1.77,13,True,1
tvr_procthor_procthor_07541_easy_t01_s00_v2,v2,procthor_procthor_07541_easy_t01_s00,procthor,procthor-easy,procthor:7541,8,40,5,CoffeeMachine;CounterTop;Lettuce;Pot;Toaster,0.12,0.0,1.46,3.91,14,True,1
tvr_procthor_procthor_09286_easy_t04_s01_v2,v2,procthor_procthor_09286_easy_t04_s01,procthor,procthor-easy,procthor:9286,8,40,6,DeskLamp;DiningTable;Shelf;Sofa;TVStand;Television,0.1,0.02,1.58,1.46,14,True,1
tvr_procthor_procthor_09639_easy_t02_s00_v2,v2,procthor_procthor_09639_easy_t02_s00,procthor,procthor-easy,procthor:9639,8,40,9,Bowl;Bread;CounterTop;DiningTable;Knife;Pan;Plate;Shelf;Television,0.02,0.0,1.46,2.69,14,True,1
tvr_procthor_procthor_09639_easy_t04_s00_v2,v2,procthor_procthor_09639_easy_t04_s00,procthor,procthor-easy,procthor:9639,9,40,7,Book;Box;DiningTable;Shelf;Sofa;TVStand;Television,0.12,0.0,1.82,4.37,17,True,1
tvr_procthor_procthor_04719_easy_t09_s00_retarget,retarget,procthor_procthor_04719_easy_t09_s00,procthor,procthor-easy,procthor:4719,10,40,6,Bed;Drawer;Dresser;Laptop;Pillow;Television,0.0,0.0,1.77,,25,True,1
tvr_procthor_procthor_05041_easy_t03_s01_v2,v2,procthor_procthor_05041_easy_t03_s01,procthor,procthor-easy,procthor:5041,10,40,3,Doorframe;Fridge;GarbageBag,0.06,0.04,1.41,3.82,19,True,1
tvr_procthor_procthor_07302_easy_t02_s01_v2,v2,procthor_procthor_07302_easy_t02_s01,procthor,procthor-easy,procthor:7302,10,40,5,CounterTop;DiningTable;Doorframe;Fridge;GarbageCan,0.0,0.0,2.0,3.81,19,True,1
tvr_procthor_procthor_08101_easy_t00_s00_v2,v2,procthor_procthor_08101_easy_t00_s00,procthor,procthor-easy,procthor:8101,10,40,6,Chair;DeskLamp;DiningTable;GarbageCan;HousePlant;TVStand,0.06,0.0,1.77,2.14,18,True,1
tvr_procthor_procthor_01377_easy_t04_s01_v2,v2,procthor_procthor_01377_easy_t04_s01,procthor,procthor-easy,procthor:1377,11,40,5,Chair;Doorframe;Fridge;Laptop;Sofa,0.0,0.0,2.02,4.24,29,True,1
tvr_procthor_procthor_02586_easy_t04_s01_v2,v2,procthor_procthor_02586_easy_t04_s01,procthor,procthor-easy,procthor:2586,11,40,7,Bed;Book;Drawer;Dresser;HousePlant;LaundryHamper;Pillow,0.04,0.0,2.3,3.88,26,True,1
tvr_procthor_procthor_04114_easy_t08_s01_v2,v2,procthor_procthor_04114_easy_t08_s01,procthor,procthor-easy,procthor:4114,11,40,7,BaseballBat;Bed;Box;Drawer;Dresser;Pillow;TennisRacket,0.04,0.0,2.14,2.06,22,True,1
tvr_procthor_procthor_04435_easy_t09_s00_v2,v2,procthor_procthor_04435_easy_t09_s00,procthor,procthor-easy,procthor:4435,11,40,6,ArmChair;Bed;Drawer;Dresser;FloorLamp;Laptop,0.04,0.0,2.3,3.72,20,True,1
tvr_procthor_procthor_04719_easy_t08_s01_retarget,retarget,procthor_procthor_04719_easy_t08_s01,procthor,procthor-easy,procthor:4719,11,40,4,Bed;Dresser;Laptop;Pillow,0.0,0.0,2.02,,19,True,1
tvr_procthor_procthor_05393_easy_t01_s01_v2,v2,procthor_procthor_05393_easy_t01_s01,procthor,procthor-easy,procthor:5393,11,40,6,Bed;Book;Box;Drawer;Dresser;Vase,0.06,0.0,2.14,1.25,19,True,1
tvr_procthor_procthor_07415_easy_t08_s01_v2,v2,procthor_procthor_07415_easy_t08_s01,procthor,procthor-easy,procthor:7415,11,40,4,Box;DiningTable;Fridge;GarbageBag,0.0,0.0,1.95,3.5,19,True,1
tvr_procthor_procthor_09639_easy_t07_s00_v2,v2,procthor_procthor_09639_easy_t07_s00,procthor,procthor-easy,procthor:9639,11,40,6,Bread;CounterTop;DiningTable;FloorLamp;Sofa;Television,0.0,0.0,2.3,4.37,18,True,1
tvr_procthor_procthor_01294_easy_t09_s00_v2,v2,procthor_procthor_01294_easy_t09_s00,procthor,procthor-easy,procthor:1294,12,40,6,Bed;DeskLamp;DogBed;Drawer;Dresser;Pillow,0.0,0.0,2.24,2.14,26,True,1
tvr_procthor_procthor_01377_easy_t07_s01_v2,v2,procthor_procthor_01377_easy_t07_s01,procthor,procthor-easy,procthor:1377,12,40,5,Doorframe;Fridge;Laptop;SideTable;Sofa,0.02,0.0,2.76,1.77,19,True,1
tvr_procthor_procthor_02586_easy_t06_s01_v2,v2,procthor_procthor_02586_easy_t06_s01,procthor,procthor-easy,procthor:2586,12,40,7,Bed;Book;Drawer;Dresser;HousePlant;LaundryHamper;Pillow,0.06,0.0,2.76,2.06,17,True,1
tvr_procthor_procthor_04435_easy_t07_s01_v2,v2,procthor_procthor_04435_easy_t07_s01,procthor,procthor-easy,procthor:4435,12,40,8,ArmChair;FloorLamp;GarbageCan;LaundryHamper;Safe;Sink;Toilet;WashingMachine,0.0,0.0,2.37,1.95,27,True,1
tvr_procthor_procthor_05393_easy_t01_s00_v2,v2,procthor_procthor_05393_easy_t01_s00,procthor,procthor-easy,procthor:5393,12,40,8,Bed;Book;Box;Drawer;Dresser;Laptop;Pillow;Vase,0.12,0.0,2.37,1.35,22,True,1
tvr_procthor_procthor_06616_easy_t07_s00_v2,v2,procthor_procthor_06616_easy_t07_s00,procthor,procthor-easy,procthor:6616,12,40,7,Drawer;Dresser;GarbageCan;HousePlant;Safe;Statue;Television,0.0,0.0,1.46,1.35,23,True,1
tvr_procthor_procthor_07415_easy_t07_s00_v2,v2,procthor_procthor_07415_easy_t07_s00,procthor,procthor-easy,procthor:7415,12,40,3,CounterTop;Fridge;Stool,0.0,0.0,2.76,1.25,18,True,1
tvr_procthor_procthor_09764_easy_t04_s00_v2,v2,procthor_procthor_09764_easy_t04_s00,procthor,procthor-easy,procthor:9764,12,40,5,ArmChair;Bed;Dresser;FloorLamp;TeddyBear,0.06,0.0,2.15,1.75,19,True,1
tvr_procthor_procthor_01090_easy_t05_s00_v2,v2,procthor_procthor_01090_easy_t05_s00,procthor,procthor-easy,procthor:1090,13,40,5,CounterTop;Kettle;Mug;SoapBottle;SprayBottle,0.08,0.0,2.61,4.37,19,True,2
tvr_procthor_procthor_01090_easy_t08_s00_v2,v2,procthor_procthor_01090_easy_t08_s00,procthor,procthor-easy,procthor:1090,13,40,5,DiningTable;Doorframe;GarbageBag;Sofa;Stool,0.02,0.0,2.46,3.48,21,True,2
tvr_procthor_procthor_05662_easy_t00_s01_v2,v2,procthor_procthor_05662_easy_t00_s01,procthor,procthor-easy,procthor:5662,13,40,6,AlarmClock;Bed;Laptop;Pillow;Stool;Television,0.06,0.0,2.36,1.75,26,True,2
tvr_procthor_procthor_07252_easy_t07_s01_v2,v2,procthor_procthor_07252_easy_t07_s01,procthor,procthor-easy,procthor:7252,13,40,5,Bed;Desk;HousePlant;Laptop;TeddyBear,0.0,0.0,2.61,3.69,27,True,2
tvr_procthor_procthor_07293_easy_t01_s00_v2,v2,procthor_procthor_07293_easy_t01_s00,procthor,procthor-easy,procthor:7293,13,40,6,DishSponge;Faucet;Sink;SinkBasin;SoapBottle;Toilet,0.06,0.0,2.3,2.36,17,True,2
tvr_procthor_procthor_07302_easy_t04_s00_v2,v2,procthor_procthor_07302_easy_t04_s00,procthor,procthor-easy,procthor:7302,13,40,5,Chair;CoffeeMachine;CounterTop;DiningTable;Doorframe,0.0,0.0,2.3,3.34,28,True,2
tvr_procthor_procthor_08118_easy_t06_s00_v2,v2,procthor_procthor_08118_easy_t06_s00,procthor,procthor-easy,procthor:8118,13,40,6,Book;Chair;CounterTop;DiningTable;Pot;Stool,0.02,0.0,2.25,1.75,23,True,2
tvr_procthor_procthor_00449_easy_t03_s01_v2,v2,procthor_procthor_00449_easy_t03_s01,procthor,procthor-easy,procthor:449,14,40,6,Bed;Drawer;Dresser;GarbageCan;Pillow;Toilet,0.02,0.0,3.26,1.25,23,True,2
tvr_procthor_procthor_02586_easy_t05_s01_v2,v2,procthor_procthor_02586_easy_t05_s01,procthor,procthor-easy,procthor:2586,14,40,6,Bed;Drawer;Dresser;HousePlant;LaundryHamper;Pillow,0.08,0.0,2.5,1.58,21,True,2
tvr_procthor_procthor_03569_easy_t09_s00_v2,v2,procthor_procthor_03569_easy_t09_s00,procthor,procthor-easy,procthor:3569,14,40,5,Box;Chair;DiningTable;Fridge;SideTable,0.08,0.0,2.85,6.29,21,True,2
tvr_procthor_procthor_08101_easy_t08_s01_v2,v2,procthor_procthor_08101_easy_t08_s01,procthor,procthor-easy,procthor:8101,14,40,8,Chair;DeskLamp;DiningTable;Doorframe;GarbageCan;HousePlant;TVStand;Television,0.0,0.0,1.58,1.27,25,True,2
tvr_procthor_procthor_08118_easy_t06_s01_v2,v2,procthor_procthor_08118_easy_t06_s01,procthor,procthor-easy,procthor:8118,14,40,6,Book;Chair;CounterTop;DiningTable;Pot;Stool,0.02,0.0,2.26,1.75,29,True,2
tvr_procthor_procthor_09639_easy_t01_s00_v2,v2,procthor_procthor_09639_easy_t01_s00,procthor,procthor-easy,procthor:9639,14,40,7,Book;Box;DiningTable;Shelf;Sofa;TVStand;Television,0.1,0.0,2.85,2.02,19,True,2
tvr_procthor_procthor_09848_easy_t07_s00_v2,v2,procthor_procthor_09848_easy_t07_s00,procthor,procthor-easy,procthor:9848,14,40,7,ArmChair;Bed;FloorLamp;Shelf;TVStand;TeddyBear;Television,0.0,0.0,3.16,5.06,62,True,2
tvr_procthor_procthor_09851_easy_t03_s01_v2,v2,procthor_procthor_09851_easy_t03_s01,procthor,procthor-easy,procthor:9851,14,40,7,Bottle;Chair;DiningTable;Doorframe;Shelf;ShelvingUnit;Sofa,0.04,0.0,4.51,4.45,36,True,2
tvr_procthor_procthor_00449_easy_t05_s01_v2,v2,procthor_procthor_00449_easy_t05_s01,procthor,procthor-easy,procthor:449,15,40,6,Bed;Drawer;Dresser;GarbageCan;Pillow;Toilet,0.02,0.0,3.51,1.77,23,True,2
tvr_procthor_procthor_07415_easy_t00_s01_retarget,retarget,procthor_procthor_07415_easy_t00_s01,procthor,procthor-easy,procthor:7415,15,40,5,Box;Shelf;ShelvingUnit;TVStand;Television,0.02,0.0,1.95,,22,True,2
tvr_procthor_procthor_08101_easy_t03_s00_v2,v2,procthor_procthor_08101_easy_t03_s00,procthor,procthor-easy,procthor:8101,15,40,8,Chair;DeskLamp;DiningTable;Doorframe;GarbageCan;HousePlant;TVStand;Television,0.0,0.0,2.8,2.3,26,True,2
tvr_procthor_procthor_09160_easy_t06_s00_v2,v2,procthor_procthor_09160_easy_t06_s00,procthor,procthor-easy,procthor:9160,15,40,5,CounterTop;DiningTable;HousePlant;Shelf;ShelvingUnit,0.0,0.0,2.7,2.3,24,True,2
tvr_procthor_procthor_09639_easy_t00_s00_v2,v2,procthor_procthor_09639_easy_t00_s00,procthor,procthor-easy,procthor:9639,15,40,5,Pillow;Shelf;Sofa;TVStand;Television,0.1,0.0,3.29,2.3,25,True,2
tvr_procthor_procthor_09848_easy_t08_s01_v2,v2,procthor_procthor_09848_easy_t08_s01,procthor,procthor-easy,procthor:9848,15,40,7,CounterTop;HousePlant;Knife;Plate;SoapBottle;Sofa;Toaster,0.0,0.0,3.02,4.04,28,True,2
tvr_procthor_procthor_04719_easy_t05_s00_v2,v2,procthor_procthor_04719_easy_t05_s00,procthor,procthor-easy,procthor:4719,16,42,5,Bed;Dresser;Laptop;Pillow;Television,0.0,0.0,2.92,3.16,22,True,3
tvr_procthor_procthor_05393_easy_t09_s01_v2,v2,procthor_procthor_05393_easy_t09_s01,procthor,procthor-easy,procthor:5393,16,42,8,Bed;Book;Box;Drawer;Dresser;Laptop;Pillow;Vase,0.04,0.0,3.34,1.8,27,True,3
tvr_procthor_procthor_07415_easy_t06_s01_v2,v2,procthor_procthor_07415_easy_t06_s01,procthor,procthor-easy,procthor:7415,16,42,7,Bowl;CounterTop;Cup;Fridge;GarbageBag;GarbageCan;Stool,0.0,0.0,3.54,2.66,24,True,3
tvr_procthor_procthor_07500_easy_t07_s00_v2,v2,procthor_procthor_07500_easy_t07_s00,procthor,procthor-easy,procthor:7500,16,42,7,Box;Chair;Doorframe;Fridge;SideTable;TVStand;Television,0.06,0.0,2.85,5.15,21,True,3
tvr_procthor_procthor_09848_easy_t04_s01_v2,v2,procthor_procthor_09848_easy_t04_s01,procthor,procthor-easy,procthor:9848,16,42,6,Bed;Drawer;Dresser;Safe;TeddyBear;Television,0.0,0.0,2.85,4.76,21,True,3
tvr_procthor_procthor_09848_easy_t05_s00_v2,v2,procthor_procthor_09848_easy_t05_s00,procthor,procthor-easy,procthor:9848,16,40,8,BaseballBat;BasketBall;Drawer;Dresser;Safe;Shelf;TVStand;Television,0.08,0.0,4.25,6.05,53,True,3
tvr_procthor_procthor_01294_easy_t08_s01_v2,v2,procthor_procthor_01294_easy_t08_s01,procthor,procthor-easy,procthor:1294,17,44,5,DogBed;GarbageCan;Sink;SprayBottle;Toilet,0.04,0.0,3.25,1.5,29,True,3
tvr_procthor_procthor_01881_easy_t06_s01_v2,v2,procthor_procthor_01881_easy_t06_s01,procthor,procthor-easy,procthor:1881,17,44,8,Cart;Doorframe;Fridge;Pillow;Sofa;TVStand;Television;Vase,0.0,0.0,3.05,5.67,27,True,3
tvr_procthor_procthor_06176_easy_t06_s01_v2,v2,procthor_procthor_06176_easy_t06_s01,procthor,procthor-easy,procthor:6176,17,44,9,Book;CounterTop;DeskLamp;DiningTable;Dresser;Fridge;HousePlant;Plate;Statue,0.0,0.0,3.4,6.02,28,True,3
tvr_procthor_procthor_09286_easy_t09_s00_v2,v2,procthor_procthor_09286_easy_t09_s00,procthor,procthor-easy,procthor:9286,17,44,7,DeskLamp;DiningTable;Doorframe;Shelf;Sofa;TVStand;Television,0.04,0.0,3.05,1.8,30,True,3
tvr_procthor_procthor_01090_easy_t03_s01_v2,v2,procthor_procthor_01090_easy_t03_s01,procthor,procthor-easy,procthor:1090,18,46,5,Book;Box;DiningTable;Sofa;Statue,0.08,0.0,3.35,3.51,26,True,3
tvr_procthor_procthor_01294_easy_t02_s00_v2,v2,procthor_procthor_01294_easy_t02_s00,procthor,procthor-easy,procthor:1294,18,46,5,Bed;DogBed;Drawer;Dresser;HousePlant,0.06,0.02,3.26,1.25,30,True,3
tvr_procthor_procthor_01294_easy_t06_s00_v2,v2,procthor_procthor_01294_easy_t06_s00,procthor,procthor-easy,procthor:1294,18,46,5,DogBed;GarbageCan;Sink;SprayBottle;Toilet,0.0,0.0,2.85,1.46,30,True,3
tvr_procthor_procthor_01881_easy_t00_s01_v2,v2,procthor_procthor_01881_easy_t00_s01,procthor,procthor-easy,procthor:1881,18,46,6,Chair;Doorframe;Shelf;Sofa;TVStand;Television,0.02,0.02,3.82,4.81,35,True,3
tvr_procthor_procthor_03405_easy_t02_s00_v2,v2,procthor_procthor_03405_easy_t02_s00,procthor,procthor-easy,procthor:3405,18,46,4,Desk;Dumbbell;Laptop;TissueBox,0.04,0.0,3.35,1.25,34,True,3
tvr_procthor_procthor_05662_easy_t01_s01_retarget,retarget,procthor_procthor_05662_easy_t01_s01,procthor,procthor-easy,procthor:5662,18,46,6,AlarmClock;Bed;Laptop;Pillow;Stool;Television,0.06,0.0,3.16,,34,True,3
tvr_procthor_procthor_07415_easy_t03_s01_v2,v2,procthor_procthor_07415_easy_t03_s01,procthor,procthor-easy,procthor:7415,18,46,4,DiningTable;Shelf;ShelvingUnit;SideTable,0.04,0.0,2.92,1.68,32,True,3
tvr_procthor_procthor_08101_easy_t02_s01_v2,v2,procthor_procthor_08101_easy_t02_s01,procthor,procthor-easy,procthor:8101,18,46,7,Chair;DeskLamp;DiningTable;HousePlant;Shelf;ShelvingUnit;Vase,0.14,0.0,3.35,1.5,27,True,3
tvr_procthor_procthor_09286_easy_t01_s01_v2,v2,procthor_procthor_09286_easy_t01_s01,procthor,procthor-easy,procthor:9286,18,46,7,CounterTop;DiningTable;Doorframe;Shelf;Sofa;TVStand;Television,0.0,0.0,3.26,4.51,30,True,3
tvr_procthor_procthor_04114_easy_t09_s00_v2,v2,procthor_procthor_04114_easy_t09_s00,procthor,procthor-easy,procthor:4114,19,48,6,DishSponge;GarbageCan;Sink;SinkBasin;SoapBottle;Toilet,0.04,0.0,3.36,5.66,28,True,3
tvr_procthor_procthor_07415_easy_t00_s00_retarget,retarget,procthor_procthor_07415_easy_t00_s00,procthor,procthor-easy,procthor:7415,19,48,4,Book;Box;Shelf;ShelvingUnit,0.02,0.0,3.25,,32,True,3
tvr_procthor_procthor_08118_easy_t03_s00_v2,v2,procthor_procthor_08118_easy_t03_s00,procthor,procthor-easy,procthor:8118,19,48,6,Bed;Drawer;Dresser;Fridge;TVStand;Television,0.0,0.0,3.88,1.8,26,True,3
tvr_procthor_procthor_08118_easy_t08_s00_v2,v2,procthor_procthor_08118_easy_t08_s00,procthor,procthor-easy,procthor:8118,19,48,7,Bowl;DeskLamp;Drawer;Dresser;Fridge;TVStand;Television,0.0,0.0,3.4,1.6,31,True,3
tvr_procthor_procthor_01873_easy_t06_s00_retarget,retarget,procthor_procthor_01873_easy_t06_s00,procthor,procthor-easy,procthor:1873,20,50,6,BasketBall;Cabinet;Chair;DiningTable;Dresser;Statue,0.04,0.0,3.95,,31,True,3
tvr_procthor_procthor_04114_easy_t06_s00_v2,v2,procthor_procthor_04114_easy_t06_s00,procthor,procthor-easy,procthor:4114,20,50,4,Bed;GarbageCan;Pillow;TennisRacket,0.0,0.0,3.61,1.77,31,True,3
tvr_procthor_procthor_04435_easy_t09_s01_v2,v2,procthor_procthor_04435_easy_t09_s01,procthor,procthor-easy,procthor:4435,20,50,3,ArmChair;GarbageCan;LaundryHamper,0.08,0.06,4.53,2.69,27,True,3
tvr_procthor_procthor_07504_easy_t04_s01_v2,v2,procthor_procthor_07504_easy_t04_s01,procthor,procthor-easy,procthor:7504,20,50,7,Book;DiningTable;Doorframe;Fridge;GarbageBag;TVStand;Television,0.02,0.0,4.03,1.06,31,True,3
tvr_procthor_procthor_01090_easy_t07_s00_v2,v2,procthor_procthor_01090_easy_t07_s00,procthor,procthor-easy,procthor:1090,21,52,5,DiningTable;Doorframe;GarbageBag;Sofa;Stool,0.0,0.0,3.75,2.25,36,True,3
tvr_procthor_procthor_01873_easy_t02_s01_v2,v2,procthor_procthor_01873_easy_t02_s01,procthor,procthor-easy,procthor:1873,21,52,6,BasketBall;Cabinet;Chair;DiningTable;Dresser;Statue,0.04,0.0,3.82,2.26,32,True,3
tvr_procthor_procthor_02910_easy_t01_s00_v2,v2,procthor_procthor_02910_easy_t01_s00,procthor,procthor-easy,procthor:2910,21,52,4,Bed;Cart;FloorLamp;Television,0.0,0.0,4.19,1.46,35,True,3
tvr_procthor_procthor_04114_easy_t02_s00_retarget,retarget,procthor_procthor_04114_easy_t02_s00,procthor,procthor-easy,procthor:4114,21,52,5,GarbageCan;Sink;SinkBasin;SoapBottle;Toilet,0.08,0.0,3.82,,31,True,3
tvr_procthor_procthor_06036_easy_t02_s01_v2,v2,procthor_procthor_06036_easy_t02_s01,procthor,procthor-easy,procthor:6036,21,52,5,CoffeeMachine;CounterTop;Pan;Toaster;Tomato,0.04,0.0,3.82,6.17,27,True,3
tvr_procthor_procthor_06197_easy_t00_s01_v2,v2,procthor_procthor_06197_easy_t00_s01,procthor,procthor-easy,procthor:6197,21,52,7,Chair;CounterTop;DiningTable;Fridge;GarbageBag;Plate;Safe,0.06,0.0,3.82,4.01,38,True,3
tvr_procthor_procthor_09639_easy_t07_s01_v2,v2,procthor_procthor_09639_easy_t07_s01,procthor,procthor-easy,procthor:9639,21,52,7,Book;Box;DiningTable;Shelf;Sofa;TVStand;Television,0.06,0.0,4.37,1.25,26,True,3
tvr_procthor_procthor_01377_easy_t01_s01_v2,v2,procthor_procthor_01377_easy_t01_s01,procthor,procthor-easy,procthor:1377,22,54,5,Chair;Doorframe;Fridge;Laptop;Sofa,0.0,0.0,4.12,4.7,43,True,3
tvr_procthor_procthor_04114_easy_t06_s01_v2,v2,procthor_procthor_04114_easy_t06_s01,procthor,procthor-easy,procthor:4114,22,54,4,Bed;GarbageCan;Pillow;TennisRacket,0.0,0.0,4.14,1.77,30,True,3
tvr_procthor_procthor_09160_easy_t06_s01_v2,v2,procthor_procthor_09160_easy_t06_s01,procthor,procthor-easy,procthor:9160,22,54,4,Book;Shelf;ShelvingUnit;Statue,0.06,0.0,4.03,3.55,29,True,3
tvr_procthor_procthor_01377_easy_t06_s01_v2,v2,procthor_procthor_01377_easy_t06_s01,procthor,procthor-easy,procthor:1377,23,56,5,DiningTable;Doorframe;Fridge;Laptop;Sofa,0.0,0.0,4.1,2.06,34,True,3
tvr_procthor_procthor_03829_easy_t08_s00_v2,v2,procthor_procthor_03829_easy_t08_s00,procthor,procthor-easy,procthor:3829,23,56,5,Bed;Box;Dresser;LaundryHamper;Pillow,0.0,0.0,4.67,1.0,36,True,3
tvr_procthor_procthor_04114_easy_t05_s00_v2,v2,procthor_procthor_04114_easy_t05_s00,procthor,procthor-easy,procthor:4114,23,56,3,Faucet;Sink;Toilet,0.28,0.0,4.25,2.25,30,True,3
tvr_procthor_procthor_06197_easy_t04_s00_v2,v2,procthor_procthor_06197_easy_t04_s00,procthor,procthor-easy,procthor:6197,23,56,6,CounterTop;DiningTable;Fridge;Shelf;Sofa;Television,0.02,0.0,4.07,3.78,35,True,3
tvr_procthor_procthor_07252_easy_t00_s00_v2,v2,procthor_procthor_07252_easy_t00_s00,procthor,procthor-easy,procthor:7252,23,56,4,CounterTop;Doorframe;TVStand;Television,0.02,0.0,4.1,4.85,38,True,3
tvr_procthor_procthor_07541_easy_t04_s01_v2,v2,procthor_procthor_07541_easy_t04_s01,procthor,procthor-easy,procthor:7541,23,56,5,Box;DiningTable;FloorLamp;GarbageCan;Television,0.04,0.0,4.07,1.03,42,True,3
tvr_procthor_procthor_07541_easy_t07_s01_v2,v2,procthor_procthor_07541_easy_t07_s01,procthor,procthor-easy,procthor:7541,23,56,5,CoffeeMachine;CounterTop;Lettuce;Pot;Toaster,0.02,0.0,5.06,3.61,34,True,3
tvr_procthor_procthor_04114_easy_t01_s01_v2,v2,procthor_procthor_04114_easy_t01_s01,procthor,procthor-easy,procthor:4114,24,58,4,GarbageCan;Sink;SinkBasin;Toilet,0.02,0.0,4.37,2.14,34,True,3
tvr_procthor_procthor_07504_easy_t04_s00_v2,v2,procthor_procthor_07504_easy_t04_s00,procthor,procthor-easy,procthor:7504,24,58,7,Book;DiningTable;Doorframe;Fridge;GarbageBag;TVStand;Television,0.02,0.0,4.91,1.06,35,True,3
tvr_procthor_procthor_09639_easy_t06_s00_v2,v2,procthor_procthor_09639_easy_t06_s00,procthor,procthor-easy,procthor:9639,24,58,6,Bowl;Bread;CounterTop;Fridge;Pan;Stool,0.0,0.0,4.26,1.25,32,True,3
tvr_procthor_procthor_05193_easy_t01_s00_v2,v2,procthor_procthor_05193_easy_t01_s00,procthor,procthor-easy,procthor:5193,25,60,5,Bed;Box;Pillow;Shelf;ShelvingUnit,0.02,0.0,2.51,1.35,45,True,3
tvr_procthor_procthor_03890_easy_t09_s00_v2,v2,procthor_procthor_03890_easy_t09_s00,procthor,procthor-easy,procthor:3890,26,62,3,Drawer;Dresser;Vase,0.06,0.0,4.72,1.8,35,True,3
